1	1	1	44.5000
1	1	2	50.0000
1	2	1	44.5000
1	2	2	50.5000
1	3	1	45.0000
1	3	2	50.5000
1	4	1	45.0000
1	4	2	52.0000
1	5	1	45.5000
1	5	2	53.5000
1	6	1	47.5000
1	6	2	55.0000
1	7	1	48.0000
1	7	2	55.5000
1	8	1	48.5000
1	8	2	57.5000
1	9	1	49.5000
1	9	2	58.0000
1	10	1	50.0000
1	10	2	57.5000
2	1	1	44.0000
2	1	2	48.0000
2	2	1	44.0000
2	2	2	48.0000
2	3	1	44.0000
2	3	2	50.0000
2	4	1	44.5000
2	4	2	50.0000
2	5	1	45.5000
2	5	2	50.5000
2	6	1	46.0000
2	6	2	52.0000
2	7	1	46.5000
2	7	2	54.0000
2	8	1	47.5000
2	8	2	56.5000
2	9	1	48.0000
2	9	2	58.5000
2	10	1	48.0000
2	10	2	61.0000
3	1	1	41.5000
3	1	2	45.0000
3	2	1	41.5000
3	2	2	45.5000
3	3	1	41.5000
3	3	2	46.0000
3	4	1	41.5000
3	4	2	46.0000
3	5	1	42.5000
3	5	2	46.5000
3	6	1	42.5000
3	6	2	48.0000
3	7	1	43.0000
3	7	2	49.0000
3	8	1	43.5000
3	8	2	50.5000
3	9	1	44.0000
3	9	2	54.0000
3	10	1	45.0000
3	10	2	57.0000
4	1	1	30.5000
4	1	2	35.0000
4	2	1	30.5000
4	2	2	37.5000
4	3	1	30.5000
4	3	2	37.5000
4	4	1	31.0000
4	4	2	40.0000
4	5	1	31.5000
4	5	2	41.5000
4	6	1	32.5000
4	6	2	41.0000
4	7	1	33.5000
4	7	2	42.5000
4	8	1	34.0000
4	8	2	44.0000
4	9	1	34.5000
4	9	2	46.5000
4	10	1	35.0000
4	10	2	47.5000
5	1	1	28.0000
5	1	2	35.0000
5	2	1	27.5000
5	2	2	35.0000
5	3	1	28.5000
5	3	2	36.0000
5	4	1	29.5000
5	4	2	38.0000
5	5	1	30.0000
5	5	2	39.5000
5	6	1	31.5000
5	6	2	39.5000
5	7	1	32.0000
5	7	2	42.5000
5	8	1	32.5000
5	8	2	44.5000
5	9	1	33.5000
5	9	2	45.5000
5	10	1	35.0000
5	10	2	48.0000
